"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"ANDHRA PRADESH","KIDNAPPING and ABDUCTION",1182,1302,1485,1526,1612,2030,2097,1970,1958,2053,2154,1870
"ARUNACHAL PRADESH","KIDNAPPING and ABDUCTION",83,57,68,65,58,75,68,79,62,67,93,82
"ASSAM","KIDNAPPING and ABDUCTION",1480,1595,1628,1906,1751,1825,1971,2239,2718,3250,3764,3812
"BIHAR","KIDNAPPING and ABDUCTION",2159,2361,2427,3413,2693,2619,2530,3047,3222,3674,4268,4807
"CHHATTISGARH","KIDNAPPING and ABDUCTION",207,178,177,214,246,239,244,273,286,359,472,450
"GOA","KIDNAPPING and ABDUCTION",9,9,14,13,17,16,12,36,33,25,28,24
"GUJARAT","KIDNAPPING and ABDUCTION",998,1015,1044,1133,1164,1128,1312,1323,1348,1447,1614,1720
"HARYANA","KIDNAPPING and ABDUCTION",449,427,388,423,492,635,801,854,916,963,959,1349
"HIMACHAL PRADESH","KIDNAPPING and ABDUCTION",126,138,113,123,118,130,171,151,150,194,212,172
"JAMMU & KASHMIR","KIDNAPPING and ABDUCTION",606,674,712,735,748,789,758,704,873,896,1077,1093
"JHARKHAND","KIDNAPPING and ABDUCTION",441,468,487,468,621,635,762,792,827,978,941,1056
"KARNATAKA","KIDNAPPING and ABDUCTION",559,645,531,592,589,563,680,758,892,1374,1395,1451
"KERALA","KIDNAPPING and ABDUCTION",183,162,189,232,226,294,255,253,256,261,299,281
"MADHYA PRADESH","KIDNAPPING and ABDUCTION",956,964,887,832,847,808,922,929,1036,1187,1288,1302
"MAHARASHTRA","KIDNAPPING and ABDUCTION",985,953,926,1045,1194,1261,1312,1379,1286,1508,1669,1583
"MANIPUR","KIDNAPPING and ABDUCTION",94,157,120,128,106,130,150,176,159,199,169,223
"MEGHALAYA","KIDNAPPING and ABDUCTION",55,52,49,54,48,57,52,56,56,71,87,92
"MIZORAM","KIDNAPPING and ABDUCTION",2,7,8,15,13,6,4,9,9,9,6,8
"NAGALAND","KIDNAPPING and ABDUCTION",23,27,38,23,26,31,17,44,52,50,34,27
"ODISHA","KIDNAPPING and ABDUCTION",522,523,477,526,641,704,801,908,930,1016,1139,1542
"PUNJAB","KIDNAPPING and ABDUCTION",513,551,464,463,478,591,760,718,692,789,681,919
"RAJASTHAN","KIDNAPPING and ABDUCTION",2718,2587,2238,2384,1993,1970,2177,2358,2870,2985,3204,3243
"SIKKIM","KIDNAPPING and ABDUCTION",6,9,0,5,3,8,9,4,6,6,10,10
"TAMIL NADU","KIDNAPPING and ABDUCTION",952,1001,879,870,1029,906,1270,1375,1372,1720,1984,1945
"TRIPURA","KIDNAPPING and ABDUCTION",93,128,146,99,85,105,113,146,121,114,154,139
"UTTAR PRADESH","KIDNAPPING and ABDUCTION",4330,3430,2208,3337,2955,3318,4478,5428,6083,6321,8500,8878
"UTTARAKHAND","KIDNAPPING and ABDUCTION",183,198,171,213,203,212,253,247,275,286,314,297
"WEST BENGAL","KIDNAPPING and ABDUCTION",875,831,902,1200,1207,1355,1800,2332,2750,3345,4285,5117
"TOTAL (STATES)","KIDNAPPING and ABDUCTION",20789,20449,18776,22037,21163,22440,25779,28588,31238,35147,40800,43492
"A & N ISLANDS","KIDNAPPING and ABDUCTION",2,2,2,3,2,5,12,17,16,10,15,8
"CHANDIGARH","KIDNAPPING and ABDUCTION",56,54,32,54,54,65,52,50,40,38,58,87
"D & N HAVELI","KIDNAPPING and ABDUCTION",4,9,7,12,13,18,9,17,12,18,9,13
"DAMAN & DIU","KIDNAPPING and ABDUCTION",5,3,1,2,4,3,1,4,0,2,3,3
"DELHI","KIDNAPPING and ABDUCTION",1627,1323,1156,1209,1590,1442,1688,1567,2536,3208,3767,3970
