STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
NAGALAND,2003,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2003,TOTAL IPC,0,0,0,35,0,35,21,0,21,6,0,6,62,0,62
NAGALAND,2004,MURDER,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
NAGALAND,2004,ATTEMPT TO COMMIT MURDER,0,0,0,1,0,1,3,0,3,2,0,2,6,0,6
NAGALAND,2004,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,RAPE,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
NAGALAND,2004,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,DACOITY,0,0,0,16,0,16,8,0,8,0,0,0,24,0,24
NAGALAND,2004,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,ROBBERY,0,0,0,10,0,10,5,0,5,0,0,0,15,0,15
NAGALAND,2004,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,THEFTS,0,0,0,4,0,4,7,0,7,0,0,0,11,0,11
NAGALAND,2004,EXTORTION,0,0,0,7,0,7,21,0,21,7,0,7,35,0,35
NAGALAND,2004,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,CHEATING,0,0,0,0,0,0,15,0,15,5,0,5,20,0,20
NAGALAND,2004,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2004,TOTAL IPC,0,0,0,40,0,40,63,0,63,14,0,14,117,0,117
NAGALAND,2005,MURDER,0,0,0,2,0,2,2,2,4,5,0,5,9,2,11
NAGALAND,2005,ATTEMPT TO COMMIT MURDER,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
NAGALAND,2005,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,RAPE,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
NAGALAND,2005,KIDNAPPING AND ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4
NAGALAND,2005,ROBBERY,0,0,0,4,0,4,10,0,10,0,0,0,14,0,14
NAGALAND,2005,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,THEFTS,0,0,0,7,2,9,0,0,0,0,0,0,7,2,9
NAGALAND,2005,EXTORTION,0,0,0,10,0,10,15,0,15,10,0,10,35,0,35
NAGALAND,2005,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2005,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
